item,category,target_cost_cny_min,target_cost_cny_max,counted_in_50,included_in_quote,note
弹性片,炮头机械架构,3,8,yes,yes,301/304 弹簧不锈钢薄片或 PET 弹性片；先 PET 做几何验证再弹簧钢做寿命版
膜片材料,炮头机械架构,2,5,yes,yes,薄硅胶或 TPU 或 PET 膜；至少并行比较一种弹性体膜和一种聚酯膜
轴/销/铜套,炮头机械架构,2,5,yes,yes,低载荷小角度优先铜套或打印导向
小轴承（如果确有必要）,炮头机械架构,2,8,yes,yes,只有确有必要才加；超预算时第一个被减
小磁铁,炮头机械架构,1,3,yes,yes,用于零位或状态检测磁路
O 型圈/密封件,炮头机械架构,2,5,yes,yes,必要密封不可删
M2/M3 紧固件,炮头机械架构,2,4,yes,yes,标准件
软质实验载荷,炮头机械架构,1,3,yes,yes,EVA 或 EPP 超轻圆片；早期可用毛毡或纸片
其他机械杂件,炮头机械架构,2,5,yes,yes,含防脱结构等零散件
小计-炮头机械架构,汇总,17,46,,,9 项下限求和为 17；上限求和为 46；与 §21 目标总计一致
核算结论,核算,,,,,目标总计 ¥17–46；推荐 ≤ ¥40；硬限制 < ¥50；本表上限 46 低于硬限制但高于推荐值 40；按上限采购时需按削减顺序压到 40 以内
MCU,不计入¥50-后台或外设,,,no,no,规格书未给成本；不计入 ¥50；不得为省 MCU 破坏机械方案
主控板,不计入¥50-后台或外设,,,no,no,规格书未给成本；不计入 ¥50
传感器后台,不计入¥50-后台或外设,,,no,no,规格书未给成本；不计入 ¥50
云台舵机,不计入¥50-后台或外设,,,no,no,规格书未给成本；不计入 ¥50
云台电机,不计入¥50-后台或外设,,,no,no,规格书未给成本；不计入 ¥50
发射/蓄能所用外部执行电机或舵机,不计入¥50-后台或外设,,,no,no,规格书未给成本；不计入 ¥50
电源,不计入¥50-后台或外设,,,no,no,规格书未给成本；不计入 ¥50
PCB,不计入¥50-后台或外设,,,no,no,规格书未给成本；不计入 ¥50
线材,不计入¥50-后台或外设,,,no,no,规格书未给成本；不计入 ¥50
通信模块,不计入¥50-后台或外设,,,no,no,规格书未给成本；不计入 ¥50
3D 打印材料成本,不计入¥50-后台或外设,,,no,no,规格书未给成本；不计入 ¥50；打印件只做框架/支撑/限位/边界切换
CAD/仿真/实验仪器成本,不计入¥50-后台或外设,,,no,no,规格书未给成本；不计入 ¥50
超预算削减顺序-第1步,预算规则,,,,,先减非必要轴承；铜套或打印导向能替代就替代
超预算削减顺序-第2步,预算规则,,,,,再减 CNC/金属定制件；改用打印件或标准件
超预算削减顺序-第3步,预算规则,,,,,再减多余装饰壳
超预算削减顺序-第4步,预算规则,,,,,最后减不必要传动级
不可删减-状态检测,预算规则,,,,,状态检测相关零件与传感接口；超预算也不得删减
不可删减-防脱结构,预算规则,,,,,防止载荷意外脱出的结构；超预算也不得删减
不可删减-必要密封,预算规则,,,,,膜片与气路相关密封；超预算也不得删减
不可删减-安全互锁,预算规则,,,,,§11 机械安全互锁相关结构；超预算也不得删减
